,title,price,year
0,1917 conch shell,25,1917
1,rare antique 1920 american modern conant ball russell wright chair shi,500,1920
2,civil war ammo crate,400,
3,turner wall mirror shadow box frame shelf gold cream retro 1960s,75,1960
4,mcm ashtray lamp,300,
5,old record players work,1,
6,working 1963 wurlitzer model 2710 45 rpm jukebox,2100,1963
7,antique butter churn,100,
8,plush victorian glider,125,
9,mid century art lattice bowl shipping available,100,
10,rare 1960s mod moppet children 11 piece nativity,250,1960
11,extremely rare 1930’s mystical hermetic crescent aquamarine brooch,250,1930
12,1931 browns portrait gallery 21 of 27,100,1931
13,antique tobacco grinder,75,
14,vintage black marble foo dog bookends,125,
15,rare georgia tech versus notre dame football program october 29th 1927,1000,1927
16,pair antique french empire gilt ormolu bronze dolphin candlesticks,500,
17,1890 eastlake victorian white marble top vanity,400,
18,1959 almost complete set of 9 robert riger shell oil ny giants prints,80,1959
19,mcm tension pole lamp,325,
20,mid century rare moppet children nativity,260,
21,fontanini italian heirloom nativity,175,
22,1960s magnavox record radio console,300,1960
23,antique tiger oak solid wood console desk,550,
24,antique crazy quilt,150,
25,yacht mary model in case,1100,
26,rare georgia tech versus notre dame football program october 29th 1927,1000,1927
27,pair vintage cabinet knobs,8,
28,looking for wildwood lamp catalog,80,
29,vintage schwinn childs bike,75,
30,oak vintage wrought iron ice cream parlor set,150,
31,antique / vintage wooden ironing board,25,
32,rare antique: egyptian throne replica,12000,
33,rare find antique: victorian cathedral style birdhouse castle,3500,
34,antique childs drof leaf table and chairs,50,
35,bookends wine rack,20,
36,antique bronze vintage wine rack,40,
37,vintage baby chair!,10,
38,lenox ming dessert plates/bowls,10,
39,antique toyo blue and white bowl,15,
40,bombay and other blue and white china,60,
41,china cabinet,1000,
42,wwi m1917 gas mask & carry bag,150,1917
43,"fine ceramics, $30 for both, read ad, thx",30,
44,"reduced-mcm murano glass vase, perfect condition, 18""tall",50,
45,"antique hubley bronze lamp, 33"", heavy, original patina",250,
46,"antique brass lamp, 26"", vgc, works",30,
47,vintage platinum wheat japan fine china,50,
48,2 vintage buggy wrenches,15,
49,antique victorian carved walnut and upholstered chair,250,
50,ladies x-large.  rain coat,15,
51,"""the pieta"" by michelangelo (marble reproduction)",50,
52,t & w. thwaites spirit jug,125,
53,antique framed horse racing print,45,
54,"kronkine buffalo , n.y. jug",140,
55,hot chocolate pot antique germany,85,
56,authentic dale tiffany lamp,400,
57,pair of vintage berman bronze & art glass deco style table lamps,125,
58,vintage aluminum tired lunch/pie carrier,10,
59,2 nice wooden ironing boards,10,
60,vintage mickey mouse player,7,
61,antique carpenter's tool box,99,
62,antique carpenter's tool box--personalized,199,
63,"antique solid oak 48"" table with 2 leaves",149,
64,federal 2.5 gallon fire extinguisher,125,
65,"authentic ""rogers and bros."" super plate stainless  flatware",45,
66,civil war era hand crank corn shucking by smalley mfg. wisconsin,249,
67,"gmc & chevy truck hood, primer gray",400,
68,antique ct altwasser germany porcelain chocolte set,39,
69,pair of wooden antique indian clubs,125,
70,antique wooden pair of indian clubs,300,
71,john deere leaf sweeper,150,
72,large building sale,0,
73,antique throne king hall tree,650,
74,mcm william fetner valet chair and desk,450,
75,antique secretary desk,75,
76,vanity/dresser,250,
77,antique dresser and three quarter bed with mattresses and box spring,275,
78,colonial maple rocker,50,
79,vintage wash bin,20,
80,antique cedar hope chest with mahogany veneer,200,
81,corelle dishes 18 pieces,10,
82,arner's water pitcher and basin,100,
83,player piano rolls,99,
84,german oak server,825,
85,corner cupboard,300,
86,gorgeous antique 3-piece mcm caldwell rosewood furniture set,1500,
87,rocking chair,800,
88,"many antiques, primitives, collectibles.",0,
89,antique kitchen hand water pump,40,
90,antique,75,
91,antique soda glass bottles,20,
92,china set,80,
93,guinea pigs,10,
